,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
398,L02,OTHER,73501,36,H,F,2,,Y,L1G,L,C,T,2
399,NEW,OTHER,96251,10,U,M,3,,,L2G,L,A,U,4
400,STR,CA,90046,3,H,F,3,12,,L4G,L,A,U,1
401,HCC,MI,49335,44,U,M,3,,,L1G,L,C,R,2
402,AML,FL,33125,10,U,,3,,,L1F,L,A,U,4
403,AML,OTHER,35811,27,H,F,3,,,L4D,L,B,C,2
404,ARG,MI,49525,40,U,F,3,,,L2F,L,B,R,2
405,SYN,OTHER,97754,45,H,M,2,,,L1F,L,D,R,2
406,SSS,NC,28270,31,U,M,3,,,L1G,L,B,C,3
407,AML,OTHER,66101,30,U,F,3,12,,L1F,L,B,C,3
408,RMG,CA,90703,2,H,M,3,,,L1F,L,A,U,1
409,CJR,MI,49071,44,H,M,2,,,L1E,L,C,R,2
410,SYN,OTHER,52225,51,U,M,3,,,L2F,L,D,R,3
411,L04,OTHER,80003,16,U,F,3,,,L1F,L,B,S,2
412,SYN,FL,33177,21,H,M,3,,,L3F,L,A,S,3
413,NHB,MO,63127,13,H,M,3,,,L1F,L,A,S,1
414,CNT,OTHER,80103,44,U,M,2,,,L1F,L,B,R,2
415,APP,FL,34465,29,H,M,3,,Y,L4D,L,C,C,2
416,BOA,MI,48126,40,U,F,3,,,L1F,L,A,R,2
417,FCR,OTHER,86351,40,U,M,3,,,L4F,L,C,R,2
418,AGR,WA,98072,35,H,M,3,,,L1F,L,A,T,1
419,AMB,OTHER,80022,30,H,F,3,,,L1F,L,B,C,3
420,DNA,OTHER,67865,45,U,M,1,,,L1F,L,D,R,2
421,RMG,OTHER,67212,17,U,F,3,,,L1F,L,B,S,2
422,ESN,CA,95125,1,U,F,3,,,L3D,L,A,U,1
423,UCA,OTHER,74464,36,H,M,3,,,L3F,L,D,T,2
424,DRK,CA,91719,5,U,F,3,,,L4D,L,A,U,2
425,HCC,OTHER,97132,36,U,F,3,,,L1F,L,B,T,2
426,KNG,IN,47933,37,U,F,3,,,L2F,L,D,T,2
427,SGI,CA,95018,34,H,F,3,,,L3E,L,A,T,1
428,BSM,TX,77905,44,U,M,3,,,L4E,L,C,R,2
429,ARG,WI,53118,35,H,M,3,,,L1F,L,B,T,1
430,L04,CA,92056,20,H,F,2,,,L1F,L,A,S,2
431,AML,CA,92057,33,H,M,3,,,L1G,L,A,C,3
432,HOS,CA,95630,20,H,F,1,,,L3F,L,B,S,2
433,STR,IL,61265,31,U,F,3,,,L1E,L,B,C,3
434,STL,MO,64129,21,H,M,1,,,L3F,L,B,S,3
435,L01,FL,32110,46,H,F,2,,,L2F,L,D,R,2
436,SIG,CA,93065,24,H,M,3,,,L2F,L,A,C,1
437,MCC,TX,75667,53,H,F,3,,Y,L1F,L,D,R,3
438,CHT,GA,30310,8,H,M,3,,Y,L1G,L,A,U,3
439,DCD,CA,91780,2,U,M,2,12,,L2F,L,A,U,1
440,USB,CA,95901,31,U,F,3,,,L1G,L,C,C,3
441,DRK,CA,90603,13,H,F,2,,,L1E,L,A,S,1
442,CAP,MO,63901,36,U,F,3,,,L1E,L,D,T,2
443,TVG,OTHER,97355,44,U,F,1,12,,L4G,L,C,R,2
444,HHH,WA,98383,12,U,F,3,,,L1G,L,C,S,1
445,MBC,OTHER,73801,36,U,M,3,,,L2F,L,D,T,2
446,AGR,MI,48116,40,U,M,3,,,L1F,L,A,T,2
447,SGI,OTHER,80241,17,H,M,3,,,L3E,L,B,S,2
448,AML,OTHER,42748,43,H,M,3,,Y,L1G,L,D,R,2
449,HCC,OTHER,99516,35,U,F,2,,,L3F,L,C,T,1
450,AML,WA,98155,20,H,M,3,,,L1E,L,A,S,2
451,SUF,OTHER,68017-,40,U,F,3,,,L1F,L,D,R,2
452,PRV,CA,92139,8,H,M,2,12,Y,L1F,L,A,U,3
453,NEW,TX,78242,21,H,M,3,,,L1F,L,B,S,3
454,RPH,GA,30314,32,U,F,3,,,L4D,L,A,C,3
455,HOS,NC,28208,17,H,M,3,,,L1F,L,B,S,2
456,IMP,GA,30179,43,H,F,3,,,L1F,L,C,R,2
457,IMP,IN,47396,39,H,F,2,,Y,L3G,L,C,T,2
458,CRG,NC,28052,30,U,F,3,,,L1F,L,B,C,3
459,LIS,CA,93550,27,U,J,3,,,L1E,L,A,C,2
460,AML,WA,98292,28,H,M,3,,,L1F,L,C,C,2
461,BHG,MI,48313,20,U,M,3,,,L3E,L,A,S,2
462,AGR,FL,33156,12,H,M,3,,,L1G,L,A,S,1
463,COK,CA,93035,11,H,F,3,,,L1G,L,A,S,1
464,TRO,CA,92507,11,U,M,1,,,L1G,L,A,S,1
465,WRG,OTHER,89128,24,H,M,2,,Y,L3E,L,B,C,1
466,GUR,MO,65452,43,U,M,2,,,L1F,L,D,R,2
467,HOW,OTHER,39465,49,U,M,3,,,L4D,L,C,R,2
468,WIG,IN,47335,51,U,F,2,,Y,L3E,L,C,R,3
469,L02,TX,78801,36,H,F,3,,,L1F,L,D,T,2
470,MM3,OTHER,55396,45,H,M,3,,Y,L1F,L,D,R,2
471,MAT,IL,60139,18,H,M,3,,,L1F,L,A,S,2
472,DRK,TX,78727,18,H,F,3,,,L1E,L,B,S,2
473,DCD,CA,93401,24,U,M,2,,,L1F,L,C,C,1
474,DCD,FL,33761-,20,U,M,3,,,L2G,L,A,S,2
475,ADD,FL,32244,18,U,,3,,,L3E,L,B,S,2
476,PBL,IL,60429-,16,U,F,3,,,L1G,L,A,S,2
477,ASC,GA,30349,17,H,M,3,12,,L1G,L,A,S,2
478,D02,MI,48079,36,U,F,3,,,L1F,L,A,T,2
479,CFI,MI,49442,31,U,F,1,,Y,L1G,L,C,C,3
480,CWR,CA,94063,17,U,F,3,,,L3E,L,A,S,2
481,PV3,OTHER,73075,45,U,F,3,,,L1F,L,D,R,2
482,SYN,CA,92021,20,H,M,2,,,L4E,L,A,S,2
483,GLP,OTHER,86045,51,H,F,2,,,L4D,L,C,R,3
484,MBC,IL,62656,40,U,F,3,,,L4D,L,D,T,2
485,BHG,CA,95926,46,U,,3,,,L3E,L,C,R,2
486,MBC,WA,98125,2,H,M,2,,,L1G,L,A,U,1
487,STV,OTHER,84121,14,H,M,3,,,L1G,L,B,S,1
488,ARG,FL,33617,15,U,F,3,,,L4F,L,A,S,1
489,ENQ,IL,61864,44,U,F,1,12,,L2E,L,C,R,2
490,HHH,OTHER,74075,39,H,M,3,,,L1F,L,C,T,2
491,HEA,TX,78721,32,H,F,3,,,L1F,L,B,C,3
492,WRG,OTHER,68701,35,H,F,3,,,L2F,L,D,T,1
493,APP,IL,60025,13,H,M,3,,,L1F,L,A,S,1
494,CAW,CA,93705,7,H,M,2,,,L1F,L,B,U,2
495,MBC,NC,28717,28,U,M,3,,,L1F,L,D,C,2
496,MBC,OTHER,59221,51,U,M,3,,,L1F,L,D,R,3
497,BLI,OTHER,50501,41,U,F,3,12,,L1F,L,D,T,3
498,OVS,OTHER,37686,46,H,F,2,,,L1F,L,B,R,2
499,PV3,MO,64134,20,H,M,3,2,Y,L1F,L,B,S,2
500,PV3,CA,90732,11,U,F,3,12,,L3E,L,A,S,1
501,DUR,IL,60558,13,H,M,2,,,L3E,L,A,S,1
502,HOS,OTHER,70123,31,H,F,3,,,L1F,L,B,C,3
503,AML,MO,63376,27,H,M,3,,,L4D,L,A,C,2
504,LHJ,OTHER,55744,40,H,M,3,12,,L2G,L,D,R,2
505,MCC,OTHER,55066,36,U,F,1,,,L2E,L,D,T,2
506,MBC,OTHER,38651,40,H,F,3,,,L2F,L,B,T,2
507,DNA,OTHER,66043-,27,U,M,3,,,L2F,L,B,C,2
508,EAS,WA,98942,44,H,F,3,,Y,L3G,L,C,R,2
509,APP,TX,77091,20,H,M,3,,,L3E,L,A,S,2
510,HHH,IL,60628,2,H,M,3,,,L1F,L,A,U,1
511,DNA,CA,94123,1,U,U,1,,,L2E,L,A,U,1
512,ESN,MO,63119,5,H,F,3,,,L1F,L,A,U,2
513,L01,FL,33415,20,H,M,3,,,L3E,L,B,S,2
514,AMB,OTHER,56172,48,H,F,3,,,L1E,L,D,R,2
515,SYN,GA,30152,40,H,M,3,,,L1G,L,A,R,2
516,LIS,OTHER,68847-,46,U,M,1,,,L2E,L,D,R,2
517,CRG,OTHER,84075,40,U,F,3,,,L1F,L,B,T,2
518,SFH,CA,92505,19,H,F,3,,,L1F,L,A,S,2
519,DNA,WA,98683,18,U,M,3,,,L1G,L,B,S,2
520,CFI,OTHER,80442,42,U,F,3,,,L2F,L,D,R,1
521,SYN,OTHER,35476,49,U,,3,,Y,L3E,L,C,R,2
522,BHG,OTHER,70895,31,U,,3,,,L1E,L,B,C,3
523,IMA,FL,32207,25,H,F,2,,,L1F,L,B,C,2
524,IMP,WA,99156,45,U,M,3,,,L1E,L,D,R,2
525,AML,OTHER,55106,8,H,M,3,,,L2E,L,A,U,3
526,AMB,OTHER,84010,24,H,F,3,,,L1E,L,B,C,1
527,PBK,OTHER,42206-,51,U,M,3,,,L2F,L,D,R,3
528,BOA,IL,60005,14,U,F,3,,,L1F,L,A,S,1
529,ARG,FL,32824,39,H,M,2,,,L2F,L,B,T,2
530,TOR,OTHER,41502,49,U,M,3,,,L2E,L,C,R,2
531,LIS,CA,93003,13,U,M,3,12,,L1F,L,A,S,1
532,ENQ,OTHER,89122,21,H,F,3,,,L1F,L,B,S,3
533,LHJ,IL,61244,21,U,F,3,,,L3E,L,B,S,3
534,MBC,GA,30752,51,U,F,3,,,L3E,L,B,R,3
535,L01,MO,64633,53,U,F,1,12,,L2G,L,D,R,3
536,L01,FL,33004,31,H,M,3,,,L1F,L,A,C,3
537,HCC,MO,64116,21,U,M,2,,,L4E,L,B,S,3
538,HJR,CA,94579,5,H,F,3,,,L1F,L,A,U,2
539,,FL,33161,2,H,F,3,12,,L4E,L,A,U,1
540,DRK,OTHER,36801,35,U,F,2,,,L1E,L,C,T,1
541,AMB,IL,60415,18,U,F,3,,,L1F,L,A,S,2
542,IMP,IL,61103,40,H,M,3,,,L4G,L,B,T,2
543,SYN,CA,94530,3,H,M,3,,,L2E,L,A,U,1
544,MCO,IL,60187,15,H,M,1,,,L4F,L,A,S,1
545,OMH,MO,63303,40,U,M,3,,,L1E,L,A,T,2
546,MSD,CA,91304,13,U,F,2,,,L3F,L,A,S,1
547,NPT,OTHER,59105,27,U,F,3,,,L2F,L,C,C,2
548,DCD,CA,93004,14,U,F,2,,,L1F,L,A,S,1
549,STR,OTHER,85373,46,U,F,3,,,L1F,L,A,R,2
550,FRC,OTHER,85543,43,U,F,3,,,L2G,L,D,R,2
551,IWD,IL,60447,35,H,M,3,,,L1F,L,A,T,1
552,LIS,OTHER,39337,45,U,M,2,,,L3F,L,D,R,2
553,PV3,WA,98178,16,U,M,1,,,L3D,L,A,S,2
554,AML,OTHER,29360-,51,H,F,3,,,L2E,L,C,R,3
555,DRK,CA,93720,15,H,F,1,12,Y,L1E,L,B,S,1
556,HER,OTHER,55044-,45,H,M,2,,,L1F,L,A,R,2
557,FOR,WA,98061,35,U,M,3,,,L1F,L,C,T,1
558,MCC,OTHER,56542,53,U,F,2,,,L2F,L,D,R,3
559,HAM,IN,46220,11,H,F,3,,,L1G,L,B,S,1
560,HOS,CA,92688,11,H,F,2,,,L2F,L,A,S,1
561,ARG,NC,28137,49,U,F,3,,,L2F,L,B,R,2
562,RPH,OTHER,68123,35,H,F,3,,,L2F,L,B,T,1
563,MB1,MI,48826,11,H,F,2,,,L2F,L,B,S,1
564,CWR,FL,33433,13,U,F,3,,,L2F,L,B,S,1
565,IMP,OTHER,85351,29,U,F,3,,,L2E,L,A,C,2
566,ARG,FL,34711,46,U,M,2,,,L4E,L,C,R,2
567,AML,OTHER,29591,51,U,M,3,,,L3E,L,C,R,3
568,CHK,IL,60457,17,H,M,3,,,L2F,L,A,S,2
569,MBC,MO,63640,36,U,F,3,,,L3D,L,D,T,2
570,IMA,OTHER,89139,44,U,M,3,,,L3E,L,B,R,2
571,BHG,IL,61704,24,H,M,2,,Y,L1F,L,C,C,1
572,PV3,OTHER,39110,13,U,M,3,,,L2F,L,B,S,1
573,LIS,FL,34231,26,H,M,3,,,L1G,L,B,C,2
574,L01,OTHER,29812,42,H,F,3,,Y,L2F,L,D,R,1
575,BHG,CA,91702,20,H,M,3,,,L4E,L,A,S,2
576,PCL,OTHER,97850,36,U,U,1,,,L3E,L,D,T,2
577,BHG,FL,33756,9,H,F,2,,Y,L1E,L,A,U,3
578,SYN,OTHER,97042-,40,U,F,1,,,L4D,L,B,T,2
579,CNT,MO,64050,30,H,F,3,,,L1F,L,B,C,3
580,AML,OTHER,85710,17,H,F,2,,Y,L1E,L,B,S,2
581,AMB,OTHER,52240,25,U,M,3,,Y,L2E,L,C,C,2
582,L21,GA,30066,16,H,M,3,,,L1G,L,A,S,2
583,ASC,OTHER,51104,24,H,M,3,,,L3F,L,C,C,1
584,AGR,CA,93436,27,H,M,3,,,L1F,L,B,C,2
585,MBC,WA,98004,15,H,M,3,,,L3E,L,A,S,1
586,SHL,GA,30415,43,U,F,2,,,L1F,L,D,R,2
587,HAM,WA,98264,28,U,M,2,,Y,L2F,L,C,C,2
588,IMP,IN,46514,27,H,M,3,,,L1G,L,C,C,2
589,AML,CA,93306,21,H,M,3,,,L1F,L,B,S,3
590,CNT,OTHER,29841,39,H,M,3,,,L3E,L,B,T,2
591,HOS,FL,33009,23,U,F,3,,,L2G,L,A,C,1
592,ARG,OTHER,55378,12,H,F,2,,,L1F,L,A,S,1
593,AMB,CA,90250,6,U,,3,,,L1F,L,A,U,2
594,GDA,CA,92019,20,H,F,3,,,L1F,L,A,S,2
595,ARG,CA,91761,10,H,M,2,,,L1F,L,A,U,4
596,FAR,MO,65041,48,H,M,2,12,,L2G,L,D,R,2
597,AGR,OTHER,71129,39,U,M,1,,,L1F,L,B,T,2
598,MBC,OTHER,88435,52,U,F,3,,,L1G,L,D,R,3
599,CHT,TX,75904,40,H,F,2,,,L3F,L,C,R,2
600,AML,CA,90305,7,U,F,2,,,L1F,L,A,U,2
601,MCO,NC,27107,25,H,M,3,,Y,L1G,L,B,C,2
602,DNA,OTHER,72315,41,U,M,3,,,L1G,L,C,T,3
603,LIS,FL,33771,9,U,F,3,,,L1G,L,A,U,3
604,RPH,CA,93711,14,H,F,1,,,L2G,L,B,S,1
605,ARG,OTHER,66209,11,U,M,3,,,L3G,L,B,S,1
606,ARG,FL,34947,29,U,M,3,,,L1F,L,B,C,2
607,STA,CA,95127,9,H,M,3,,,L1F,L,A,U,3
608,SYN,TX,77586,24,H,M,3,,,L2G,L,A,C,1
609,LHJ,GA,30705,43,U,F,3,,,L4F,L,D,R,2
610,EPL,TX,79925,12,H,F,3,,,L1E,L,B,S,1
611,LIS,IN,46771,49,U,M,3,,,L2F,L,D,R,2
612,STR,WA,98862,46,H,F,3,,,L4D,L,D,R,2
613,DNA,CA,95124,2,H,M,1,,,L3D,L,A,U,1
614,L02,OTHER,35124,39,H,F,3,,,L1G,L,B,T,2
615,AMB,CA,90278,2,H,F,3,,Y,L4F,L,A,U,1
616,DRK,MI,49426,40,H,F,3,,,L1G,L,B,T,2
617,HAN,CA,90305,5,U,F,3,,,L2F,L,A,U,2
618,BHG,FL,33777,20,U,F,3,12,,L1G,L,A,S,2
619,BHG,OTHER,38920,51,H,M,2,,,L2F,L,D,R,3
620,OVS,CA,90036,3,U,M,3,,,L1F,L,A,U,1
621,DEL,CA,92648,1,H,M,3,,,L1F,L,A,U,1
622,WRG,IL,60617,8,H,F,2,,,L1G,L,A,U,3
623,WKB,OTHER,71203,25,H,F,1,,,L1F,L,C,C,2
624,NWN,CA,91116,15,U,F,3,,,L4G,L,A,S,1
625,L01,WA,98682,40,H,F,2,12,,L2G,L,B,T,2
626,ARG,OTHER,41169,24,U,M,1,,,L2F,L,B,C,1
627,WWC,CA,92404,31,U,F,3,,,L1F,L,A,C,3
628,ASC,OTHER,55009-,45,H,M,3,,,L1F,L,D,R,2
629,AHC,NC,28673,46,H,M,2,,,L4D,L,B,R,2
630,L01,TX,77061,16,H,M,2,,,L1G,L,A,S,2
631,AGR,WA,98023,24,H,F,3,,,L1F,L,A,C,1
632,IMP,MI,49242,36,U,M,2,,Y,L2E,L,D,T,2
633,MBC,TX,76022,38,H,F,2,12,,L4D,L,A,T,2
634,,WI,53210,5,H,F,3,,,L3D,L,B,U,2
635,MBC,TX,79924,30,H,J,2,,,L2E,L,B,C,3
636,NSH,OTHER,97801,41,H,M,3,,,L3E,L,C,T,3
637,HOS,CA,90063,10,U,F,3,,,L3E,L,A,U,4
638,IWD,CA,95949,24,H,F,2,,,L2F,L,C,C,1
639,CWR,OTHER,39211,32,U,F,3,,,L2G,L,B,C,3
640,ESN,TX,77002,10,U,M,1,,,L2G,L,A,U,4
641,HOS,OTHER,39439,50,U,F,2,,,L4G,L,D,R,3
642,SUF,IN,47613,49,H,M,3,,,L1E,L,B,R,2
643,DCD,MI,48138,13,U,,3,,,L2E,L,A,S,1
644,ESN,NC,28540,27,H,F,3,,,L3E,L,C,C,2
645,TV1,TX,78201,10,U,F,1,,,L3E,L,B,U,4
646,MCC,WI,53186,35,U,F,1,,,L3E,L,B,T,1
647,CNT,FL,32539,40,H,M,3,,,L1G,L,C,R,2
648,L01,CA,92359-,40,U,F,2,,,L1F,L,A,R,2
649,PV3,WA,98686,18,U,M,3,,,L2F,L,B,S,2
650,L21,FL,32301,25,H,M,3,,Y,L3E,L,B,C,2
651,HHH,CA,94611,2,H,F,3,,,L3E,L,A,U,1
652,CHT,WA,98332,40,H,F,2,,,L3F,L,A,T,2
653,BHG,NC,28539,43,H,F,3,,Y,L4D,L,C,R,2
654,AMB,WI,54304-,31,H,F,3,12,,L1F,L,C,C,3
655,L04,WI,53110,21,H,F,3,,,L1F,L,B,S,3
656,SSS,WA,98685,18,U,M,1,,Y,L1F,L,B,S,2
657,CRG,FL,32246,18,H,M,2,,Y,L1F,L,B,S,2
658,FRC,WA,98604,44,U,M,3,,,L1F,L,B,R,2
659,BHG,FL,34982,27,U,F,1,,,L4F,L,B,C,2
660,MBC,CA,91801,7,H,U,2,,,L3G,L,A,U,2
661,RMG,OTHER,85367,40,H,F,2,,,L1F,L,C,R,2
662,HAN,WA,99324,38,U,F,2,,,L1F,L,D,T,2
663,AML,OTHER,97233,16,H,M,3,,,L2E,L,B,S,2
664,NAD,CA,95945,40,H,M,3,,,L1G,L,C,T,2
665,DRK,IL,62226,30,U,M,1,,,L1F,L,A,C,3
666,GLP,MO,64063,16,U,F,2,,,L1F,L,B,S,2
667,BHG,OTHER,71909,29,U,M,3,,,L2E,L,B,C,2
668,CHS,OTHER,56655,15,U,M,3,,,L1F,L,D,S,1
669,TVG,CA,94587,5,H,M,3,,,L1G,L,A,U,2
670,LHJ,CA,95380,33,H,F,2,,,L4E,L,B,C,3
671,L15,OTHER,97416,51,U,M,3,,,L1F,L,C,R,3
672,SYN,MO,64831,51,U,M,3,,,L1F,L,D,R,3
673,GAR,CA,91750,19,U,M,3,,,L1G,L,A,S,2
674,MGR,TX,77521,30,U,F,2,,Y,L1F,L,A,C,3
675,DNA,WA,98925,46,U,M,3,,,L1F,L,D,R,2
676,OMH,GA,30534,49,U,F,3,,,L2F,L,D,R,2
677,OD1,NC,27828,47,U,F,3,12,,L3F,L,C,R,2
678,L02,CA,95667,38,H,F,1,,,L1G,L,B,T,2
679,HCC,TX,77059,24,H,M,3,,,L3G,L,A,C,1
680,APP,OTHER,67854,45,H,F,2,12,,L1F,L,D,R,2
681,SPG,MO,65712,53,H,F,3,,,L1G,L,D,R,3
682,ADM,OTHER,85920,46,H,F,2,,,L3F,L,D,R,2
683,PV3,NC,28174,44,U,F,3,,Y,L3D,L,B,R,2
684,FRC,NC,28801,32,U,F,2,,,L1F,L,C,C,3
685,SYN,FL,33462-,23,H,M,3,,,L2F,L,B,C,1
686,CWR,OTHER,97225,11,U,F,3,,,L1F,L,B,S,1
687,L01,OTHER,85345,28,H,M,3,,Y,L3E,L,A,C,2
688,DNA,OTHER,85653,40,U,M,3,0,,L2E,L,B,R,2
689,AGR,IL,60103,12,H,F,3,,,L1G,L,A,S,1
690,PV3,OTHER,57701-,30,H,F,3,,,L1F,L,C,C,3
691,LEO,IL,60505,25,U,F,2,,,L1E,L,A,C,2
692,AMB,CA,94044,12,H,F,3,,,L2F,L,A,S,1
693,LIS,FL,33801,27,H,F,3,,,L4D,L,B,C,2
694,HCC,GA,30068,24,H,M,2,,Y,L2G,L,A,C,1
695,SYN,OTHER,37803,40,U,F,2,,,L3E,L,B,R,2
696,AGS,CA,92311,41,H,M,3,,,L1F,L,A,T,3
697,L11,IL,62036,45,H,M,3,,Y,L2F,L,D,R,2
698,AGR,OTHER,50310,23,U,M,3,,,L1F,L,B,C,1
699,TIM,WA,98110,35,U,F,3,,,L1F,L,C,T,1
700,STR,MI,48017,16,H,F,2,,,L1G,L,A,S,2
701,SYN,FL,32063,43,H,F,2,,,L1G,L,D,R,2
702,PBL,FL,33023,8,H,F,3,12,,L3E,L,A,U,3
703,BHG,OTHER,89406,36,U,M,3,,,L1F,L,D,T,2
704,PWR,CA,92780,13,H,F,1,,,L2F,L,A,S,1
705,ASC,IL,61048,44,U,M,3,,,L1E,L,D,R,2
706,MBC,TX,75082,14,H,F,3,,,L1G,L,A,S,1
707,HOS,OTHER,35077,51,U,M,3,12,,L1F,L,C,R,3
708,VIK,OTHER,37742,36,H,F,2,,,L1F,L,B,T,2
709,LIS,OTHER,73601,45,U,M,3,,,L1G,L,D,R,2
710,ARG,OTHER,39307,36,H,F,3,,,L3E,L,C,T,2
711,AMB,MI,48348,35,U,M,3,,,L4F,L,A,T,1
712,FRC,WI,54110,49,U,F,1,,,L1E,L,B,R,2
713,RPH,OTHER,71106,30,H,F,3,,,L3E,L,B,C,3
714,HAN,OTHER,96826,1,H,M,2,,,L1F,L,B,U,1
715,ARG,TX,76114,16,H,F,3,,,L2F,L,A,S,2
716,USB,CA,92026,24,U,F,3,,Y,L1F,L,A,C,1
717,SRN,MI,48001,40,U,M,2,,,L1G,L,A,T,2
718,AML,WA,99403,45,U,M,3,,,L1G,L,D,R,2
719,,FL,32765,24,H,F,2,,,L1F,L,B,C,1
720,DUR,FL,34242,23,U,M,3,,,L4G,L,B,C,1
721,DSN,CA,94553,17,U,M,3,,,L1F,L,A,S,2
722,MCC,MI,48101,5,H,U,3,,,L4D,L,A,U,2
723,SSS,NC,28173,42,H,M,3,,,L1G,L,B,R,1
724,IMP,OTHER,89121,8,U,M,3,,,L2E,L,B,U,3
725,AMB,WA,98168,35,U,F,2,,,L4F,L,A,T,1
726,DBL,TX,76513,35,H,M,3,,Y,L1F,L,C,T,1
727,DON,OTHER,74873,36,H,M,3,12,,L2G,L,B,T,2
728,RPH,CA,90260,3,U,F,3,,,L2F,L,A,U,1
729,HFS,OTHER,74442,45,U,M,2,,,L2F,L,D,R,2
730,CFI,MI,48917,17,U,M,2,,,L3F,L,B,S,2
731,DCD,MO,63044,12,H,M,2,,,L3F,L,A,S,1
732,AML,OTHER,55441,14,H,F,3,,,L2E,L,A,S,1
733,NWN,MI,49504,16,H,F,3,,,L3E,L,B,S,2
734,BOA,NC,28388,38,U,M,3,,,L1F,L,C,T,2
735,ASC,CA,92373,13,H,M,3,,,L1F,L,A,S,1
736,CRG,CA,94025,23,U,F,1,,,L2F,L,A,C,1
737,FRC,FL,33063,18,H,U,3,,Y,L1G,L,A,S,2
738,BHG,TX,77521,22,H,M,3,,,L4D,L,A,C,1
739,MBC,OTHER,97008,40,U,F,2,,,L2F,L,B,R,2
740,BHG,CA,95310,46,H,F,2,12,,L2G,L,D,R,2
741,ARG,OTHER,59804,40,U,F,1,,,L3E,L,C,T,2
742,AGR,OTHER,67212,12,U,M,2,,Y,L4F,L,B,S,1
743,CWR,WA,99161-,46,H,M,3,,,L1G,L,D,R,2
744,WFD,CA,95677,40,H,F,2,,,L1G,L,B,T,2
745,NSH,CA,91604,13,U,F,3,,,L1F,L,A,S,1
746,ESN,CA,93030-,21,H,U,3,12,,L4D,L,A,S,3
747,CNT,IN,46320,30,H,M,2,,,L1G,L,A,C,3
748,BHG,OTHER,82935,40,U,,3,,,L2E,L,D,T,2
749,SMC,WA,99208,27,H,M,3,,Y,L3E,L,B,C,2
750,ESN,FL,33625,18,U,F,3,,,L4F,L,A,S,2
751,LHJ,OTHER,73125,42,H,F,2,,,L1G,L,B,R,1
752,MBC,OTHER,35987,51,H,M,3,,,L1F,L,B,R,3
753,DUR,OTHER,36116,21,U,U,1,,,L1E,L,B,S,3
754,LEO,OTHER,80540,42,U,U,2,,,L1G,L,B,R,1
755,MCC,GA,31792,38,H,M,2,,,L1F,L,D,T,2
756,PGA,OTHER,55803,24,H,F,3,,,L4D,L,B,C,1
757,HHH,IL,60504,27,H,F,2,,,L2G,L,A,C,2
758,TPS,CA,96003,44,H,F,3,,,L3G,L,C,R,2
759,APP,OTHER,96821,13,U,F,3,,,L2F,L,B,S,1
760,HOS,TX,76542,39,H,F,2,,,L3E,L,C,T,2
761,MCC,CA,92037,13,H,F,3,12,,L1F,L,A,S,1
762,AMB,OTHER,97761,49,U,F,3,,,L1F,L,D,R,2
763,SYN,FL,33196,11,U,F,2,,,L1F,L,A,S,1
764,FRC,CA,95685,42,H,M,2,12,,L1G,L,D,R,1
765,SYN,FL,33610,30,H,F,3,,,L3D,L,A,C,3
766,AMB,OTHER,80005,12,H,F,3,,,L4D,L,B,S,1
767,NHB,MI,49686,42,U,F,2,,,L1G,L,C,R,1
768,BHG,OTHER,74403,34,U,F,2,,,L3D,L,C,T,1
769,L21,CA,90041,6,U,M,3,,Y,L3E,L,A,U,2
770,DRK,OTHER,29209,35,H,M,3,,,L3D,L,B,T,1
771,BED,FL,34292,29,H,F,3,12,,L2F,L,B,C,2
772,HCC,CA,93638,49,H,M,3,,Y,L1G,L,C,R,2
773,MBC,CA,95437,40,U,M,3,12,,L1E,L,C,T,2
774,AMB,WA,98826,51,U,M,1,,,L3D,L,C,R,3
775,MBC,CA,96158,38,U,F,3,,,L2G,L,B,T,2
776,CNC,FL,32417,24,H,F,2,12,,L1F,L,C,C,1
777,AMB,CA,91360,2,U,F,3,,,L3D,L,A,U,1
778,LHJ,OTHER,80925,44,U,F,2,,,L1F,L,B,R,2
779,STL,CA,95682,40,H,M,2,2,Y,L4F,L,B,T,2
780,DUR,GA,30331,35,H,M,1,,,L1G,L,A,T,1
781,IMP,FL,33076,12,H,M,3,,,L1E,L,A,S,1
782,DON,CA,93274,41,H,F,3,,,L1F,L,B,T,3
783,AGS,OTHER,86515,51,U,M,2,,,L1F,L,D,R,3
784,ARB,OTHER,71227,43,U,F,2,,,L2F,L,D,R,2
785,ADD,IN,47906,22,U,,3,,,L1F,L,C,C,1
786,SGI,WI,53038,44,H,M,2,,,L1G,L,C,R,2
787,ENQ,FL,33313,3,U,M,3,,,L2E,L,A,U,1
788,L04,OTHER,83501,30,U,F,3,,,L3E,L,D,C,3
789,DRK,MI,48471,43,U,M,3,,,L2E,L,D,R,2
790,HOS,IL,60610,1,U,F,1,,,L2F,L,A,U,1
791,NEW,IL,60435,18,H,M,2,,,L1G,L,A,S,2
792,LIS,OTHER,84041,46,U,M,1,,,L3E,L,B,R,2
793,PV3,CA,93455,27,H,F,3,,,L1G,L,B,C,2
794,AML,TX,75209,2,H,F,3,,,L2F,L,A,U,1
795,DRK,CA,92114,9,U,F,3,,,L1F,L,A,U,3
796,L07,OTHER,66061,35,H,F,3,,,L4D,L,B,T,1
